outcome_vs_deny,term,coef,se,lower_ci,upper_ci,z,pvalue,RRR,note
outcome_0_vs_deny,Intercept,-0.5042398160373185,426846.73334886075,0,inf,-1.1813135175740108e-06,0.9999990574481828,0.6039645251078611,mnlogit_default
outcome_0_vs_deny,rep_attorney,0.36010808061595034,nan,nan,nan,nan,nan,1.4334843380582885,mnlogit_default
outcome_0_vs_deny,rep_agent,0.18707536398709618,nan,nan,nan,nan,nan,1.2057181493529832,mnlogit_default
outcome_0_vs_deny,rep_vso,0.392556721130469,nan,nan,nan,nan,nan,1.4807618533853462,mnlogit_default
outcome_0_vs_deny,rep_generic,-1.4439646219956987,nan,nan,nan,nan,nan,0.23599028926254573,mnlogit_default
outcome_0_vs_deny,len_chars_z,-0.2763744377952583,0.009805365142044381,0.7440902457353551,0.7732476379569152,-28.186042415717246,8.671351788573749e-175,0.758528855707971,mnlogit_default
outcome_0_vs_deny,hearing,-0.09188948386626962,0.013839722648318696,0.8877941816666031,0.9372889865592533,-6.639546629746421,3.146494524268948e-11,0.912205957450121,mnlogit_default
outcome_0_vs_deny,ama_cue,-0.50423994343055,554571.3171863378,0,inf,-9.092427390382393e-07,0.9999992745292565,0.6039644481668734,mnlogit_default
outcome_1_vs_deny,Intercept,-0.506150274681503,812860.2442832921,0,inf,-6.226781027134391e-07,0.9999995031747555,0.6028117773491614,mnlogit_default
outcome_1_vs_deny,rep_attorney,-1.9153868657451945,nan,nan,nan,nan,nan,0.14728484210284387,mnlogit_default
outcome_1_vs_deny,rep_agent,-1.6477778409032164,nan,nan,nan,nan,nan,0.19247714859401982,mnlogit_default
outcome_1_vs_deny,rep_vso,-2.761825712172383,nan,nan,nan,nan,nan,0.0631763212264207,mnlogit_default
outcome_1_vs_deny,rep_generic,5.8188291978764966,nan,nan,nan,nan,nan,336.5777569008849,mnlogit_default
outcome_1_vs_deny,len_chars_z,-2.6475705033660066,0.03765554402603435,0.06578421456516169,0.07624788229390558,-70.3102443968284,0.0,0.0708230686214702,mnlogit_default
outcome_1_vs_deny,hearing,-0.29425060410056963,0.021713431327117998,0.7140452598529851,0.7774839496339743,-13.55154787226461,7.75768385373874e-42,0.7450897454991018,mnlogit_default
outcome_1_vs_deny,ama_cue,-0.5061501634485819,804283.764679533,0,inf,-6.293178921126892e-07,0.9999994978769701,0.6028118444016799,mnlogit_default
